"Month","A'nyemaqen Snow Mountain"
2002-02,0.000289385
2002-03,-0.004042618
2002-04,-0.029420791
2002-05,-0.081983604
2002-06,-0.151225507
2002-07,-0.223282322
2002-08,-0.28612268
2002-09,-0.33680886
2002-10,-0.375744283
2002-11,-0.398290008
2002-12,-0.408979714
2003-01,-0.409216464
2003-02,-0.408997238
2003-03,-0.412390947
2003-04,-0.436383575
2003-05,-0.486727744
2003-06,-0.554356098
2003-07,-0.622826338
2003-08,-0.684377611
2003-09,-0.735072553
2003-10,-0.770737052
2003-11,-0.790748477
2003-12,-0.801385522
2004-01,-0.803349853
2004-02,-0.801148772
2004-03,-0.803630471
2004-04,-0.826614618
2004-05,-0.87649405
2004-06,-0.942999959
2004-07,-1.011014104
2004-08,-1.068934917
2004-09,-1.117700696
2004-10,-1.149752259
2004-11,-1.164046168
2004-12,-1.169842601
2005-01,-1.168395638
2005-02,-1.161152244
2005-03,-1.15754807
2005-04,-1.172552228
2005-05,-1.217503428
2005-06,-1.278493404
2005-07,-1.340947986
2005-08,-1.395641685
2005-09,-1.439856172
2005-10,-1.469583869
2005-11,-1.484465241
2005-12,-1.487920403
2006-01,-1.483614683
2006-02,-1.475012064
2006-03,-1.474670053
2006-04,-1.495961785
2006-05,-1.544052243
2006-06,-1.610426664
2006-07,-1.674740195
2006-08,-1.736431837
2006-09,-1.786065698
2006-10,-1.823027968
2006-11,-1.843872547
2006-12,-1.85306263
2007-01,-1.855938911
2007-02,-1.856158257
2007-03,-1.860244632
2007-04,-1.885008931
2007-05,-1.936195016
2007-06,-2.00559473
2007-07,-2.074854136
2007-08,-2.13818574
2007-09,-2.192081451
2007-10,-2.229026079
2007-11,-2.25165081
2007-12,-2.263647079
2008-01,-2.267181158
2008-02,-2.267426729
2008-03,-2.27220583
2008-04,-2.298539877
2008-05,-2.349401474
2008-06,-2.419397593
2008-07,-2.490112782
2008-08,-2.553005695
2008-09,-2.604244232
2008-10,-2.64157486
2008-11,-2.660683155
2008-12,-2.67122364
2009-01,-2.673407316
2009-02,-2.671162367
2009-03,-2.674617529
2009-04,-2.696777344
2009-05,-2.746402502
2009-06,-2.812820673
2009-07,-2.880668163
2009-08,-2.941263676
2009-09,-2.990827322
2009-10,-3.025799036
2009-11,-3.04719615
2009-12,-3.055298805
2010-01,-3.057043791
2010-02,-3.052439928
2010-03,-3.056587934
2010-04,-3.07865119
2010-05,-3.129556656
2010-06,-3.198044538
2010-07,-3.266777754
2010-08,-3.32743454
2010-09,-3.378532887
2010-10,-3.414705992
2010-11,-3.435252428
2010-12,-3.446722507
2011-01,-3.449616432
2011-02,-3.449055195
2011-03,-3.453615189
2011-04,-3.478142738
2011-05,-3.531450987
2011-06,-3.601736307
2011-07,-3.67323184
2011-08,-3.737089396
2011-09,-3.789634705
2011-10,-3.829280376
2011-11,-3.85239625
2011-12,-3.865322113
2012-01,-3.869961023
2012-02,-3.869987249
2012-03,-3.874433279
2012-04,-3.901153088
2012-05,-3.951374531
2012-06,-4.020072937
2012-07,-4.088779926
2012-08,-4.151707649
2012-09,-4.202341557
2012-10,-4.2362957
2012-11,-4.255018234
2012-12,-4.261814117
2013-01,-4.260700703
2013-02,-4.255000591
2013-03,-4.254641056
2013-04,-4.272819519
2013-05,-4.318867207
2013-06,-4.380348206
2013-07,-4.443407536
2013-08,-4.498803139
2013-09,-4.54570961
2013-10,-4.576945782
2013-11,-4.591906071
2013-12,-4.596711636
2014-01,-4.594405174
2014-02,-4.589424133
2014-03,-4.588442326
2014-04,-4.607707977
2014-05,-4.65721035
2014-06,-4.722348213
2014-07,-4.790537834
2014-08,-4.850361824
2014-09,-4.900153637
2014-10,-4.936528206
2014-11,-4.957548141
2014-12,-4.968000889
2015-01,-4.969886303
2015-02,-4.969281197
2015-03,-4.972990513
2015-04,-4.997071266
2015-05,-5.047748566
2015-06,-5.116683483
2015-07,-5.185083389
2015-08,-5.249318123
2015-09,-5.301696777
2015-10,-5.338088989
2015-11,-5.358837128
2015-12,-5.368527412
2016-01,-5.371771812
2016-02,-5.369035721
2016-03,-5.371166706
2016-04,-5.393878937
2016-05,-5.443688393
2016-06,-5.509264469
2016-07,-5.576103687
2016-08,-5.635375023
2016-09,-5.68350935
2016-10,-5.716060638
2016-11,-5.735572338
2016-12,-5.743631363
2017-01,-5.74362278
2017-02,-5.738203049
2017-03,-5.739527225
2017-04,-5.760906696
2017-05,-5.80931282
2017-06,-5.875450611
2017-07,-5.942631721
2017-08,-6.00220108
2017-09,-6.052510262
2017-10,-6.087324142
2017-11,-6.107572079
2017-12,-6.116332531
2018-01,-6.116701126
2018-02,-6.113473892
2018-03,-6.115236759
2018-04,-6.137098312
2018-05,-6.186469078
2018-06,-6.253430843
2018-07,-6.318989754
2018-08,-6.379304409
2018-09,-6.428157806
2018-10,-6.462016106
2018-11,-6.481554031
2018-12,-6.486122608
2019-01,-6.484000683
2019-02,-6.479598522
2019-03,-6.478546143
2019-04,-6.496952534
2019-05,-6.542193413
2019-06,-6.605165005
2019-07,-6.667163372
2019-08,-6.724505424
2019-09,-6.77035141
2019-10,-6.801034927
2019-11,-6.81610918
2019-12,-6.819652081
2020-01,-6.817363262
2020-02,-6.809549809
2020-03,-6.808331013
2020-04,-6.82600975
2020-05,-6.870136261
2020-06,-6.933082104
2020-07,-6.996553898
2020-08,-7.052062988
2020-09,-7.098171711
2020-10,-7.129863739
2020-11,-7.148261547
2020-12,-7.153233528
2021-01,-7.152242661
2021-02,-7.145613194
2021-03,-7.144412041
2021-04,-7.163844585
2021-05,-7.212049007
2021-06,-7.278011322
2021-07,-7.344113827
2021-08,-7.4052701
2021-09,-7.455553055
2021-10,-7.49019146
2021-11,-7.509168148
2021-12,-7.51706934
2022-01,-7.517674446
2022-02,-7.513105392
2022-03,-7.51453495
2022-04,-7.536642075
2022-05,-7.583583832
2022-06,-7.649783134
2022-07,-7.717113018
2022-08,-7.77712965
2022-09,-7.826062202
2022-10,-7.858569622
2022-11,-7.877134323
2022-12,-7.882474899
2023-01,-7.881317139
