g_differ,p_differ,p1_ace,p2_ace,p1_fault,p2_fault,p1_dis,p2_dis,server
0,1,2,0,2,0,16.2145,20.3344,1
1,-1,0,1,0,1,11.418375,9.69175,2
0,2,1,0,0,1,14.4446,16.814,1
1,-3,0,1,1,0,12.114,9.0395,2
0,1,0,0,2,0,11.525375,14.560375,1
1,-2,0,0,0,1,10.2878,9.6352,2
0,2,0,0,0,1,20.037,21.3692,1
1,1,0,1,0,4,19.5885,16.4288333333333,2
2,1,0,0,1,1,12.71825,14.316,1
0,-3,0,2,0,0,3.8665,2.999,2
-1,-1,2,0,3,0,8.82525,10.429875,1
-2,-3,0,0,1,0,15.41725,14.7095,2
-3,1,1,0,0,2,25.373,22.478875,1
-2,-1,0,0,0,2,26.5944,19.6075,2
-3,1,0,0,1,0,8.677875,14.519375,1
-2,1,0,0,2,5,23.4438333333333,17.6975833333333,2
-1,3,0,0,0,1,6.01825,8.97425,1
0,-2,0,2,0,0,10.4696,6.3946,2
-1,1,0,0,0,1,14.5373333333333,23.6971666666667,1
0,-2,0,1,0,1,10.5754,6.5804,2
-1,3,1,0,0,0,7.4945,13.99075,1
0,-1,0,1,1,0,19.2528571428571,17.3252142857143,2
0,1,0,0,2,1,10.736,17.5253333333333,1
1,-1,0,0,0,4,17.9625833333333,11.5388333333333,2
0,1,1,0,1,1,16.3521666666667,22.1931666666667,1
1,2,0,0,1,2,19.0568,15.808,2
2,2,2,0,2,1,6.0974,7.0196,1
3,-1,0,0,0,1,9.74416666666667,8.98783333333333,2
2,3,1,0,0,1,8.21875,9.40825,1
3,-1,0,3,0,2,19.08125,15.747375,2
2,2,0,0,1,1,8.8122,18.2242,1
0,-2,0,0,0,1,13.4118,9.5748,2
-1,-1,0,0,5,0,14.8313333333333,19.8451666666667,1
-2,-1,0,1,0,2,20.3122777777778,18.4328888888889,2
-3,1,0,0,3,1,10.174875,11.621,1
-2,-1,0,1,1,3,12.805625,7.538125,2
-3,2,1,0,2,1,9.7608,13.9718,1
-2,1,0,0,0,3,17.7735,17.5243333333333,2
-1,2,0,0,2,0,9.2916,10.2246,1
0,-2,0,1,1,1,14.5554,10.0948,2
-1,1,0,0,1,1,13.268625,16.111125,1
0,1,0,0,0,1,17.8513333333333,13.506,2
1,1,0,0,1,0,20.10975,24.007375,1
