Player,1st Serve,1st Serve Points won,2nd Serve Points won,1st Serve Return Points won,2nd Serve Return Points won,Break Points Converted,Break Points Saved,Service Games won,Return Games won,Total Service Points won,Total Points won,WSP,WRP,COMPLETE,ATP Rank,ATP Points,Aces,Total Games,AAG,
Carlos Alcaraz,0.65,0.71,0.55,0.34,0.53,0.41,0.63,0.83,0.31,0.66,0.53,0.654,0.411428125,0.269073994,2,8855,752,4954,0.151796528,
Nicolas Jarry,0.64,0.74,0.53,0.26,0.46,0.37,0.65,0.84,0.34,0.66,0.5,0.6644,0.3351875,0.222698575,19,1810,1529,4378,0.349246231,
Alexander Zverev,0.66,0.74,0.5,0.3,0.51,0.41,0.61,0.83,0.25,0.66,0.52,0.6584,0.378946875,0.249498623,7,3985,4715,14428,0.326795121,
Matteo Berrettini,0.63,0.78,0.53,0.28,0.46,0.36,0.68,0.88,0.18,0.69,0.52,0.6875,0.34766875,0.239022266,92,682,2361,6288,0.375477099,
Frances Tiafoe,0.61,0.73,0.52,0.27,0.50 ,0.38,0.62,0.81,0.19,0.65,0.5,0.6481,0.356465625,0.231025372,16,2310,2466,8855,0.278486731,
Grigor Dimitrov,0.62,0.75,0.51,0.3,0.5,0.39,0.63,0.83,0.22,0.66,0.51,0.6588,0.3751875,0.247173525,14,2570,4708,17274,0.272548339,
Alejandro Davidovich Fokina,0.67,0.66,0.51,0.32,0.51,0.42,0.58,0.74,0.26,0.61,0.5,0.6105,0.391428125,0.23896687,26,1495,522,4925,0.105989848,
Holger Rune,0.63,0.72,0.53,0.29,0.5,0.4,0.63,0.82,0.22,0.65,0.51,0.6497,0.368946875,0.239704785,8,3660,780,3853,0.202439657,
Daniil Medvedev,0.61,0.75,0.52,0.31,0.54,0.43,0.64,0.84,0.27,0.66,0.53,0.6603,0.396465625,0.261786252,3,7600,3759,11299,0.332684308,
Marton Fucsovics,0.58,0.7,0.51,0.31,0.5,0.4,0.6,0.77,0.24,0.62,0.5,0.6202,0.381428125,0.236561723,59,882,1115,6701,0.166393076,
Jiri Lehecka,0.64,0.7,0.51,0.28,0.47,0.38,0.63,0.79,0.19,0.64,0.5,0.6316,0.351428125,0.221962004,31,1372,484,2195,0.220501139,
Tommy Paul,0.61,0.71,0.52,0.3,0.51,0.39,0.61,0.79,0.23,0.64,0.51,0.6359,0.378946875,0.240972318,13,2665,1156,5848,0.197674419,
Christopher Eubanks,0.68,0.74,0.51,0.23,0.44,0.35,0.65,0.84,0.12,0.66,0.49,0.6664,0.308946875,0.205882198,34,1235,851,2113,0.402744912,
Christopher O'Connell,0.63,0.73,0.49,0.26,0.47,0.34,0.63,0.8,0.16,0.64,0.49,0.6412,0.338946875,0.217332736,68,780,651,2377,0.273874632,
Laslo Djere,0.6,0.71,0.5,0.29,0.49,0.38,0.61,0.78,0.21,0.63,0.5,0.626,0.3651875,0.228607375,33,1285,1373,6301,0.21790192,
Stefanos Tsitsipas,0.62,0.76,0.55,0.29,0.49,0.4,0.65,0.87,0.21,0.68,0.52,0.6802,0.3651875,0.248400538,6,4235,3180,11295,0.281540505,
Jannik Sinner,0.59,0.73,0.54,0.32,0.53,0.43,0.66,0.83,0.27,0.66,0.53,0.6521,0.398946875,0.260153257,4,6490,1372,6435,0.213209013,
Quentin Halys,0.6,0.77,0.47,0.25,0.46,0.36,0.65,0.83,0.15,0.65,0.49,0.65,0.328946875,0.213815469,100,640,1009,2284,0.441768827,
Daniel Elahi Galan,0.63,0.69,0.49,0.29,0.49,0.4,0.59,0.75,0.21,0.61,0.49,0.616,0.3651875,0.2249555,93,676,424,2221,0.190904998,
Mikael Ymer,0.68,0.64,0.48,0.32,0.51,0.41,0.56,0.71,0.27,0.59,0.49,0.5888,0.391428125,0.23047288,136,469,307,3257,0.09425852,
Guido Pella,0.65,0.68,0.52,0.27,0.51,0.37,0.62,0.77,0.21,0.62,0.5,0.624,0.360225,0.2247804,202,305,1313,6960,0.188649425,
Roman Safiullin,0.63,0.74,0.52,0.28,0.51,0.39,0.65,0.82,0.21,0.66,0.51,0.6586,0.366465625,0.241354261,39,1122,462,1747,0.264453349,
Denis Shapovalov,0.59,0.76,0.51,0.28,0.48,0.38,0.65,0.83,0.2,0.66,0.51,0.6575,0.3551875,0.233535781,109,605,2607,8247,0.316114951,
Liam Broady,0.62,0.66,0.49,0.29,0.48,0.4,0.56,0.72,0.22,0.6,0.48,0.5954,0.361428125,0.215194306,108,608,186,1237,0.150363783,
Andrey Rublev,0.61,0.75,0.51,0.3,0.53,0.4,0.63,0.82,0.24,0.65,0.52,0.6564,0.386465625,0.253676036,5,4805,3028,10968,0.276075857,
David Goffin,0.58,0.71,0.5,0.31,0.52,0.41,0.6,0.77,0.27,0.62,0.51,0.6218,0.388946875,0.241847167,111,599,2795,13015,0.214752209,
Alexander Bublik,0.58,0.77,0.45,0.28,0.46,0.39,0.62,0.8,0.19,0.64,0.49,0.6356,0.34766875,0.220978258,32,1369,2980,5965,0.499580889,
Maximilian Marterer,0.63,0.7,0.53,0.24,0.45,0.36,0.61,0.8,0.14,0.64,0.48,0.6371,0.318946875,0.203201054,91,683,635,2368,0.268158784,
Lorenzo Musetti,0.64,0.69,0.51,0.3,0.51,0.42,0.59,0.78,0.24,0.63,0.5,0.6252,0.378946875,0.236917586,27,1470,597,4164,0.143371758,
Hubert Hurkacz,0.63,0.76,0.52,0.27,0.48,0.37,0.65,0.86,0.18,0.67,0.51,0.6712,0.348946875,0.234213143,9,3245,3271,7766,0.421194952,
Stan Wawrinka,0.58,0.74,0.54,0.3,0.49,0.39,0.64,0.83,0.22,0.65,0.51,0.656,0.371428125,0.24365685,49,942,6448,23169,0.278302905,
Novak Djokovic,0.65,0.74,0.56,0.34,0.55,0.44,0.65,0.86,0.32,0.68,0.54,0.677,0.418946875,0.283627034,1,11245,7098,31159,0.227799352,
,0.6240625,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
